title,slug,category,description,base_price,variant_with_blouse_price,variant_with_blouse_stock,variant_without_blouse_price,variant_without_blouse_stock
Kanchipuram Pure Silk Saree,kanchipuram-pure-silk,Silk,Handwoven Kanchipuram silk saree with rich zari pallu.,12999,12999,5,12499,7
Kerala Kasavu Saree – Premium Zari,kerala-kasavu-premium,Kasavu,Traditional Kerala Kasavu saree with premium gold kasavu border.,2499,2499,12,2199,15
Banarasi Silk Saree – Bridal Edition,banarasi-bridal,Banarasi,Heavy bridal Banarasi silk saree with brocade zari weaving.,9999,9999,4,9599,6
Soft Silk Saree – Peacock Pallu,soft-silk-peacock,Soft Silk,Lightweight soft silk saree featuring a peacock motif.,3799,3799,8,3499,10
Linen Floral Saree – Summer Edition,linen-floral,Linen,Breathable linen saree with subtle floral digital print.,1799,1799,14,1599,18
Organza Saree – Silver Border,organza-silver,Organza,Modern soft organza saree with silver shimmer border.,2899,2899,7,2599,9
Mysore Silk Saree – Classic Edition,mysore-silk-classic,Mysore Silk,Traditional pure Mysore silk with minimal golden detailing.,8299,8299,3,7999,5
Chanderi Cotton Silk Saree,chanderi-cotton-silk,Cotton Silk,Elegant Chanderi cotton-silk blend with soft zari border.,2999,2999,10,2699,12
Georgette Embroidered Saree,georgette-embroidered,Party Wear,Party-wear georgette saree with fine embroidery.,4199,4199,6,3899,8
Cotton Handloom Saree – Simple Border,cotton-handloom-simple,Handloom,Pure handloom cotton saree ideal for daily wear.,1499,1499,20,1299,25
